"net_name","ei","modularity","smi","rwc","bp","aei"
"turvallisuus_p1.edgelist",-0.876819708846585,0.434600206408184,0.914132831026465,0.649747897664189,0.459979557479557,0.876942679131471
"turvallisuus_p1.edgelist_conf_1",-0.862390670553936,0.378244438966757,0.726062482912806,0.641914388038556,0.508400974025974,0.86069998002733
"turvallisuus_p1.edgelist_conf_2",-0.873798076923077,0.325729821560651,0.681117572060779,0.653251765933497,0.495285087719298,0.870940926318228
"turvallisuus_p2.edgelist",-0.931263858093126,0.465071459825665,0.91628315767471,0.791274525507999,0.413827838827839,0.93146939165082
"turvallisuus_p2.edgelist_conf_1",-0.844497607655502,0.421888235159452,0.820742551934871,0.638201906332022,0.460454822954823,0.844870335261196
"turvallisuus_p2.edgelist_conf_2",-0.87065868263473,0.407113915880813,0.818603092900576,0.668367966701812,0.452380952380952,0.870195663351811
"turvallisuus_p3.edgelist",-0.885078776645042,0.36813168407572,0.960487387370488,0.733431427524056,0.430833333333333,0.887691763466578
"turvallisuus_p3.edgelist_conf_1",-0.805825242718446,0.387953624281271,0.88253294629325,0.643294383561875,0.480463144161774,0.806123208248436
"turvallisuus_p3.edgelist_conf_2",-0.788027477919529,0.347649805799717,0.911182503759814,0.594161053556142,0.516131711855396,0.786746972685535
"tutkimus_p1.edgelist",-0.869739478957916,0.338847534748856,0.91215186897144,0.569989851400495,0.453113553113553,0.871132911844505
"tutkimus_p1.edgelist_conf_1",-0.803571428571428,0.398572664359862,0.777322258818324,0.422471640157517,0.452245908100338,0.803182861274309
"tutkimus_p1.edgelist_conf_2",-0.814872594903796,0.315310542738922,0.593552727179401,0.44373902068992,0.495666139416139,0.810014922021581
"tutkimus_p2.edgelist",-0.834447300771208,0.352018820917123,0.894705900012321,0.517570200409992,0.436500721500722,0.835380685221175
"tutkimus_p2.edgelist_conf_1",-0.748414376321353,0.374360833865972,0.715784839312866,0.467464507913389,0.465569945927089,0.748862996237898
"tutkimus_p2.edgelist_conf_2",-0.80074986609534,0.378454302721786,0.797859543956406,0.528134810124005,0.454451705407119,0.797767242401916
"tutkimus_p3.edgelist",-0.924502402196294,0.460989924389347,0.909910012298743,0.715400856015471,0.419376899696049,0.924672092652118
